Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,209.059998,212.470001,209.059998,211.539993,207.502274,2812100
2019-09-24,212.500000,213.520004,211.550003,212.020004,207.973145,3049800
2019-09-25,212.020004,213.149994,211.000000,212.630005,208.571487,2414500
2019-09-26,214.220001,215.669998,212.479996,212.600006,208.542068,3053100
2019-09-27,213.059998,213.630005,212.289993,213.160004,209.091370,2333200
2019-09-30,213.160004,215.360001,212.809998,214.710007,210.611786,2488000
2019-10-01,211.130005,211.699997,208.460007,209.020004,205.030396,4811900
2019-10-02,207.929993,208.479996,205.589996,206.270004,202.332870,4171400
2019-10-03,206.820007,210.029999,206.330002,210.029999,206.021118,3499900
2019-10-04,210.830002,211.710007,210.039993,211.690002,207.649414,2220300
2019-10-07,211.100006,212.869995,211.100006,211.919998,207.875015,3057000
2019-10-08,210.979996,213.139999,209.970001,211.110001,207.080505,2555900
2019-10-09,211.699997,213.470001,211.619995,212.830002,208.767670,1745900
2019-10-10,211.759995,213.130005,211.500000,211.759995,207.718079,1853100
2019-10-11,213.029999,213.270004,208.669998,209.020004,205.030396,3945700
2019-10-14,208.000000,210.020004,207.789993,208.380005,204.402618,3088000
2019-10-15,209.559998,209.720001,206.520004,207.220001,203.264755,3766800
2019-10-16,207.000000,208.929993,206.809998,208.300003,204.324127,2891400
2019-10-17,208.500000,209.490005,206.839996,206.850006,202.901825,3340500
2019-10-18,206.800003,209.050003,206.729996,208.500000,204.520309,3518800
2019-10-21,209.699997,210.759995,208.440002,209.850006,205.844559,3684200
2019-10-22,205.089996,205.250000,199.149994,199.270004,195.466492,10265400
2019-10-23,200.110001,201.139999,198.020004,199.210007,195.407639,7943700
2019-10-24,199.539993,199.550003,195.789993,196.020004,192.278519,4955600
2019-10-25,196.100006,196.649994,194.399994,194.610001,190.895432,4773700
2019-10-28,194.979996,195.320007,191.500000,191.779999,188.119446,7711400
2019-10-29,192.000000,193.199997,191.639999,192.619995,188.943420,4454600
2019-10-30,193.289993,197.000000,191.679993,196.889999,193.131927,6332600
2019-10-31,197.399994,198.000000,195.630005,196.699997,192.945541,4960600
2019-11-01,197.779999,197.970001,193.699997,193.940002,190.238235,4192400
2019-11-04,190.160004,190.750000,187.550003,188.660004,185.059006,17662100
2019-11-05,189.649994,193.000000,189.449997,192.179993,188.511795,10496000
2019-11-06,193.300003,195.270004,193.050003,194.179993,190.473633,6473500
2019-11-07,195.720001,196.000000,192.320007,193.080002,189.394653,4820200
2019-11-08,194.600006,194.779999,193.220001,193.610001,189.914520,3499400
2019-11-11,193.630005,194.250000,192.500000,192.639999,188.963028,2746700
2019-11-12,193.000000,193.860001,192.770004,193.279999,189.590820,2930600
2019-11-13,193.770004,195.089996,193.509995,195.000000,191.278000,3405000
2019-11-14,195.229996,195.500000,193.160004,194.000000,190.297073,3173900
2019-11-15,194.570007,194.789993,193.309998,193.970001,190.267654,2991300
2019-11-18,194.199997,195.720001,193.860001,194.279999,190.571732,3420300
2019-11-19,194.199997,194.399994,193.009995,193.440002,189.747772,2910500
2019-11-20,193.589996,194.970001,193.539993,194.130005,190.424606,3131300
2019-11-21,194.279999,194.660004,192.259995,192.350006,188.678574,3509500
2019-11-22,193.190002,193.419998,192.149994,193.139999,189.453506,2417700
2019-11-25,193.940002,194.320007,191.600006,191.889999,188.227356,3999600
2019-11-26,192.000000,194.029999,191.949997,194.009995,190.306885,3877200
2019-11-27,194.259995,196.669998,193.919998,196.300003,192.553177,4133000
2019-11-29,196.509995,196.539993,194.270004,194.479996,191.990463,2815500
2019-12-02,195.380005,195.589996,193.779999,195.179993,192.681503,3197500
2019-12-03,194.300003,195.039993,192.350006,193.119995,190.647888,3745300
2019-12-04,193.589996,194.470001,192.889999,194.309998,191.822662,2217200
2019-12-05,194.500000,194.500000,193.139999,194.210007,191.723938,2819600
2019-12-06,194.550003,195.740005,194.110001,195.350006,192.849350,3095100
2019-12-09,195.660004,196.350006,194.289993,194.679993,192.187912,2227500
2019-12-10,194.619995,195.389999,194.279999,194.949997,192.454468,2470100
2019-12-11,195.669998,195.750000,194.259995,194.720001,192.227402,2490300
2019-12-12,195.250000,197.169998,194.910004,196.309998,193.797043,3024700
2019-12-13,196.039993,197.330002,195.339996,197.119995,194.596664,2077900
2019-12-16,197.589996,198.160004,196.479996,197.880005,195.346970,3650100
